title,address,access,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ山手線/新宿駅 歩13分
都営大江戸線/新宿西口駅 歩9分
","
築3年
地下1地上14階建
","
											2階",11.4万円,10000円,11.4万円,17.1万円,1K,25.37m2
東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ山手線/新宿駅 歩13分
都営大江戸線/新宿西口駅 歩9分
","
築3年
地下1地上14階建
","
											3階",11.4万円,10000円,11.4万円,17.1万円,1K,25.37m2
東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ山手線/新宿駅 歩13分
都営大江戸線/新宿西口駅 歩9分
","
築3年
地下1地上14階建
","
											6階",11.4万円,10000円,11.4万円,17.1万円,1K,25.37m2
東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ山手線/新宿駅 歩13分
都営大江戸線/新宿西口駅 歩9分
","
築3年
地下1地上14階建
","
											6階",11.5万円,10000円,11.5万円,17.25万円,1K,25.37m2
東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ山手線/新宿駅 歩13分
都営大江戸線/新宿西口駅 歩9分
","
築3年
地下1地上14階建
","
											8階",11.9万円,10000円,11.9万円,17.85万円,1K,25.37m2
東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ山手線/新宿駅 歩13分
都営大江戸線/新宿西口駅 歩9分
","
築3年
地下1地上14階建
","
											6階",11.9万円,10000円,11.9万円,17.85万円,1K,25.37m2
東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ山手線/新宿駅 歩13分
都営大江戸線/新宿西口駅 歩9分
","
築3年
地下1地上14階建
","
											3階",21.9万円,15000円,21.9万円,32.85万円,1LDK,40.17m2
東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ山手線/新宿駅 歩13分
都営大江戸線/新宿西口駅 歩9分
","
築3年
地下1地上14階建
","
											3階",21.9万円,15000円,21.9万円,32.85万円,1LDK,40.17m2
東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ山手線/新宿駅 歩13分
都営大江戸線/新宿西口駅 歩9分
","
築3年
地下1地上14階建
","
											12階",24.7万円,20000円,24.7万円,37.05万円,2LDK,54m2
東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ山手線/新宿駅 歩13分
都営大江戸線/新宿西口駅 歩9分
","
築3年
地下1地上14階建
","
											12階",26.2万円,20000円,26.2万円,39.3万円,2LDK,54m2
東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ山手線/新宿駅 歩13分
都営大江戸線/新宿西口駅 歩9分
","
築3年
地下1地上14階建
","
											10階",27.5万円,20000円,27.5万円,27.5万円,2LDK,50.8m2
（仮称）プラチナスクエア高田馬場,東京都新宿区高田馬場２,"
ＪＲ山手線/高田馬場駅 歩6分
東京メトロ副都心線/西早稲田駅 歩7分
東京メトロ副都心線/雑司が谷駅 歩14分
","
新築
地下1地上6階建
","
											B1階",10.2万円,12000円,-,-,1DK,25.05m2
（仮称）プラチナスクエア高田馬場,東京都新宿区高田馬場２,"
ＪＲ山手線/高田馬場駅 歩6分
東京メトロ副都心線/西早稲田駅 歩7分
東京メトロ副都心線/雑司が谷駅 歩14分
","
新築
地下1地上6階建
","
											B1階",10.3万円,12000円,-,-,1DK,25.05m2
（仮称）プラチナスクエア高田馬場,東京都新宿区高田馬場２,"
ＪＲ山手線/高田馬場駅 歩6分
東京メトロ副都心線/西早稲田駅 歩7分
東京メトロ副都心線/雑司が谷駅 歩14分
","
新築
地下1地上6階建
","
											1階",10.5万円,12000円,-,-,1DK,25.05m2
（仮称）プラチナスクエア高田馬場,東京都新宿区高田馬場２,"
ＪＲ山手線/高田馬場駅 歩6分
東京メトロ副都心線/西早稲田駅 歩7分
東京メトロ副都心線/雑司が谷駅 歩14分
","
新築
地下1地上6階建
","
											1階",10.5万円,12000円,-,-,1DK,25.05m2
