,title,address,age,floor,fee,management_fee,deposit,gratuity,madori,access_mean,room,layout,area
0,東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,3,2,11.4,1.0,11.4,17.1,1K,9.0,1,K,25.37
1,東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,3,3,11.4,1.0,11.4,17.1,1K,9.0,1,K,25.37
2,東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,3,6,11.4,1.0,11.4,17.1,1K,9.0,1,K,25.37
3,東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,3,6,11.5,1.0,11.5,17.25,1K,9.0,1,K,25.37
4,東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,3,8,11.9,1.0,11.9,17.85,1K,9.0,1,K,25.37
5,東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,3,6,11.9,1.0,11.9,17.85,1K,9.0,1,K,25.37
6,東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,3,3,21.9,1.5,21.9,32.85,1LDK,9.0,1,LDK,40.17
7,東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,3,12,24.7,2.0,24.7,37.05,2LDK,9.0,2,LDK,54.0
8,東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,3,12,26.2,2.0,26.2,39.3,2LDK,9.0,2,LDK,54.0
9,東京メトロ丸ノ内線 西新宿駅 地下1地上14階建 築3年,東京都新宿区西新宿８,3,10,27.5,2.0,27.5,27.5,2LDK,9.0,2,LDK,50.8
10,（仮称）プラチナスクエア高田馬場,東京都新宿区高田馬場２,0,1,10.2,1.2,0.0,0.0,1DK,9.0,1,DK,25.05
11,（仮称）プラチナスクエア高田馬場,東京都新宿区高田馬場２,0,1,10.3,1.2,0.0,0.0,1DK,9.0,1,DK,25.05
